#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,AUTO_GRAM
#doc=reaction_on_mv_ice_cream_cake.2.txt,,,,,,,,,,,,,,,
6,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
7,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
8,],],PUNC,,,,,,,,,PUNC,],PUNC,
9,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
10,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
11,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
12,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
13,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
14,span,SPAN,NONLEX,,,,,,,,,NONLEX,SPAN,NONLEX,
15,class,CLASS,NONLEX,,,,,,,,,NONLEX,CLASS,NONLEX,
16,=,=,PUNC,,,,,,,,,PUNC,=,PUNC,
17,	,_,,,,,,,,,,,_,18,
18,note,NOTE,NONLEX,,,,,,,,,NONLEX,NOTE,NONLEX,
19,	,_,,,,,,,,,,,_,18,
20,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
21,Говорят,ГОВОРИТЬ,NONLEX,,,т,я,р,о,в,о,V,ГОВОРИТЬ,V ipf praes pl indic - 3p,
22,одновременно,ОДНОВРЕМЕННО,NONLEX,,,о,н,н,е,м,е,ADV,ОДНОВРЕМЕННО,ADV -,
23,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
24,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
25,span,SPAN,NONLEX,,,,,,,,,NONLEX,SPAN,NONLEX,
26,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
27,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,это,ЭТО,SPRO nom sg,,,о,т,э,,,,S,ЭТО,S n - nom sg,
5,смотрится,СМОТРЕТЬСЯ,V ipf praes sg indic intr 3p med,,,я,с,т,и,р,т,V,СМОТРЕТЬСЯ,V ipf praes sg indic - 3p,
6,очень,ОЧЕНЬ,ADV -,,,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,
7,даже,ДАЖЕ,PART,,,е,ж,а,д,,,PART,ДАЖЕ,PART,
8,красиво,КРАСИВЫЙ,A - - sg brev n -,,,о,в,и,с,а,р,A,КРАСИВЫЙ,A - - sg brev n -,
9,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Мне,Я,SPRO sg 1p - loc,,,е,н,м,,,,SPRO,Я,SPRO sg 1p - loc,
4,просто,ПРОСТО,ADV -,,,о,т,с,о,р,п,ADV,ПРОСТО,ADV -,
5,нравится,НРАВИТЬСЯ,V ipf praes sg indic intr 3p med,,,я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,
6,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
2,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
3,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
4,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
5,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
6,],],PUNC,,,,,,,,,PUNC,],PUNC,
7,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
8,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
9,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
10,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
11,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
12,span,SPAN,NONLEX,,,,,,,,,NONLEX,SPAN,NONLEX,
13,class,CLASS,NONLEX,,,,,,,,,NONLEX,CLASS,NONLEX,
14,=,=,PUNC,,,,,,,,,PUNC,=,PUNC,
15,	,_,,,,,,,,,,,_,16,
16,note,NOTE,NONLEX,,,,,,,,,NONLEX,NOTE,NONLEX,
17,	,_,,,,,,,,,,,_,16,
18,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
19,Говорят,ГОВОРИТЬ,NONLEX,"нонлекс, т.к. теги вроде не надо размечать",,т,я,р,о,в,о,V,ГОВОРИТЬ,V ipf praes pl indic - 3p,
20,одновременно,ОДНОВРЕМЕННО,NONLEX,,,о,н,н,е,м,е,ADV,ОДНОВРЕМЕННО,ADV -,
21,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
22,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
23,span,SPAN,NONLEX,,,,,,,,,NONLEX,SPAN,NONLEX,
24,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
25,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Оригинально,ОРИГИНАЛЬНО,ADV -,,,о,н,ь,л,а,н,ADV,ОРИГИНАЛЬНО,ADV -,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Великолепно,ВЕЛИКОЛЕПНО,ADV -,,,о,н,п,е,л,о,ADV,ВЕЛИКОЛЕПНО,ADV -,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,И...,И...,CONJ,,,,,,и,,,CONJ,И...,CONJ,
2,мне,Я,SPRO sg 1p - loc,,,е,н,м,,,,SPRO,Я,SPRO sg 1p - loc,
3,пейзажи,ПЕЙЗАЖ,S m inan nom pl,,,и,ж,а,з,й,е,S,ПЕЙЗАЖ,S m inan acc pl,
4,так,ТАК,ADV -,,,к,а,т,,,,ADV,ТАК,ADV -,
5,нравятся,НРАВИТЬСЯ,V ipf praes pl indic tran 3p med,,,я,с,т,я,в,а,V,НРАВИТЬСЯ,V ipf praes pl indic - 3p,
6,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
7,и,И,CONJ,,,и,,,,,,CONJ,И,CONJ,
8,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,"не очень уверена, что тут вообще писать",,а,д,,,,,PART,ДА,PART,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
4,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
5,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
6,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
7,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
8,],],PUNC,,,,,,,,,PUNC,],PUNC,
9,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
10,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
11,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
12,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
13,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,А,А,INTJ,,,а,,,,,,CONJ,А,CONJ,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
6,и,И,CONJ,,,и,,,,,,CONJ,И,CONJ,
7,торт,ТОРТ,S m inan nom sg,,,т,р,о,т,,,S,ТОРТ,S m inan nom sg,
8,закончился,ЗАКОНЧИТЬСЯ,V pf praet sg indic m intr med,,,я,с,л,и,ч,н,V,ЗАКОНЧИТЬСЯ,V pf praet sg indic m -,
9,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,В,В,PR,,,в,,,,,,PR,В,PR,
4,чем,ЧЕМ,"SPRO loc
",,,м,е,ч,,,,CONJ,ЧЕМ,CONJ,
5,смысл,СМЫСЛ,S m inan nom sg,,,л,с,ы,м,с,,S,СМЫСЛ,S m inan nom sg,
6,видео,ВИДЕО,S n inan gen sg,,,о,е,д,и,в,,S,ВИДЕО,S n inan nonflex nonflex,
7,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
4,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
5,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
6,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
7,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
8,],],PUNC,,,,,,,,,PUNC,],PUNC,
9,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
10,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
11,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
12,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
13,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Часть,ЧАСТЬ,S f inan nom sg,,,ь,т,с,а,ч,,S,ЧАСТЬ,S f inan nom sg,
4,видео,ВИДЕО,S n inan gen sg,,,о,е,д,и,в,,S,ВИДЕО,S n inan nonflex nonflex,
5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
6,которая,КОТОРЫЙ,APRO - nom sg plen f -,,,я,а,р,о,т,о,A,КОТОРЫЙ,A - nom sg plen f -,
7,понятна,ПОНЯТНЫЙ,A - - sg brev f -,,,а,н,т,я,н,о,A,ПОНЯТНЫЙ,A - - sg brev f -,
8,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
9,торт,ТОРТ,S m inan nom sg,,,т,р,о,т,,,S,ТОРТ,S m inan nom sg,
10,закончился,ЗАКОНЧИТЬСЯ,V pf praet sg indic m intr med,,,я,с,л,и,ч,н,V,ЗАКОНЧИТЬСЯ,V pf praet sg indic m -,
11,к,К,PR,,,к,,,,,,PR,К,PR,
12,концу,КОНЕЦ,S m inan dat sg,,,у,ц,н,о,к,,S,КОНЕЦ,S m inan dat sg,
13,видео,ВИДЕО,S n inan nonflex nonflex,,,о,е,д,и,в,,S,ВИДЕО,S n inan nonflex nonflex,
14,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,был,БЫТЬ,V ipf praet sg indic m intr act,,,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,
6,торт,ТОРТ,S m inan acc sg,,,т,р,о,т,,,S,ТОРТ,S m inan acc sg,
7,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
8,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
9,там,ТАМ,ADV -,,,м,а,т,,,,ADV,ТАМ,ADV -,
10,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
11,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX,
12,form,FORM,NONLEX,,,,,,,,,NONLEX,FORM,NONLEX,
13,=,=,PUNC,,,,,,,,,PUNC,=,PUNC,
14,	,_,,,,,,,,,,,_,15,
15,чёт,ЧЕТ,SPRO ,distort,,т,ё,ч,,,,S,ЧЕТ,S m inan nom sg,
16,	,_,,,,,,,,,,,_,15,
17,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
18,что-то,ЧТО-ТО,SPRO ,"честно говоря, не уверена, как это размечать, т.к. употребление слова чисто разговорное и грамматически, думаю, неверное",,о,т,,о,т,ч,S,ЧТО-ТО,S n - acc sg,
19,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
20,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
21,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX,
22,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
23,побесились,ПОБЕСИТЬСЯ,V pf praet pl indic intr med,,,ь,с,и,л,и,с,V,ПОБЕСИТЬСЯ,V pf praet pl indic - -,
24,в,В,PR,,,в,,,,,,PR,В,PR,
25,разных,РАЗНЫЙ,A - loc pl plen - -,,,х,ы,н,з,а,р,A,РАЗНЫЙ,A - loc pl plen - -,
26,местах,МЕСТО,S n inan loc pl,,,х,а,т,с,е,м,S,МЕСТО,S n inan loc pl,
27,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
28,мяч,МЯЧ,S m inan nom sg,,,ч,я,м,,,,S,МЯЧ,S m inan nom sg,
29,какой-то,КАКОЙ-ТО,APRO - nom sg plen m -,,,о,т,,й,о,к,A,КАКОЙ-ТО,A - nom sg plen m -,
30,огромный,ОГРОМНЫЙ,A - nom sg plen m -,,,й,ы,н,м,о,р,A,ОГРОМНЫЙ,A - nom sg plen m -,
31,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
32,кошка,КОШКА,S f anim nom sg,,,а,к,ш,о,к,,S,КОШКА,S f anim nom sg,
33,белая,БЕЛЫЙ,A - nom sg plen f -,,,я,а,л,е,б,,A,БЕЛЫЙ,A - nom sg plen f -,
34,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,В,В,PR,,,в,,,,,,PR,В,PR,
4,торте,ТОРТ,S m inan loc sg,,,е,т,р,о,т,,S,ТОРТ,S f inan acc sg,
5,были,БЫТЬ,V ipf praet pl indic intr act,,,и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,
6,наркотики,НАРКОТИК,S m inan nom pl,,,и,к,и,т,о,к,S,НАРКОТИК,S m inan nom pl,
7,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
8,очевидно,ОЧЕВИДНО,ADV -,,,о,н,д,и,в,е,ADV,ОЧЕВИДНО,ADV -,
9,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Походу,ПОХОД,S m inan nom sg,,,у,д,о,х,о,п,S,ПОХОД,S f inan nom sg,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
